2019-12-24 15:49:08 | ALERT | 88752 | 5e01c2ef8b802 | 1577173748.22 | Class 'controller\a' not found
2019-12-24 15:49:16 | ALERT | 88752 | 5e01c2ef8b802 | 1577173756.306 | Class 'controller\a' not found
2019-12-24 15:50:31 | ALERT | 91925 | 5e01c343e41b5 | 1577173831.70 | Class 'controller\a' not found
2019-12-24 15:50:44 | ALERT | 91925 | 5e01c343e41b5 | 1577173844.980 | Class 'controller\a' not found
2019-12-24 17:00:43 | INFO | 23315 | 5e01d3b070b2a | 1577178043.947 | INSERT INTO user (`name`,`password`) VALUES ('','')
2019-12-24 17:00:43 | WARNING | 23315 | 5e01d3b070b2a | 1577178043.985 | mysql query false
2019-12-24 17:00:43 | ALERT | 23315 | 5e01d3b070b2a | 1577178043.985 | Unknown column 'password' in 'field list'
2019-12-24 17:01:29 | INFO | 23315 | 5e01d3b070b2a | 1577178089.589 | INSERT INTO user (`name`,`password`) VALUES ('','')
2019-12-24 17:01:29 | WARNING | 23315 | 5e01d3b070b2a | 1577178089.595 | mysql query false
2019-12-24 17:01:29 | ALERT | 23315 | 5e01d3b070b2a | 1577178089.595 | Field 'info' doesn't have a default value
2019-12-24 17:04:50 | INFO | 23315 | 5e01d3b070b2a | 1577178290.329 | INSERT INTO user (`name`,`password`) VALUES ('','')
2019-12-24 17:04:50 | WARNING | 23315 | 5e01d3b070b2a | 1577178290.345 | mysql query false
2019-12-24 17:04:50 | ALERT | 23315 | 5e01d3b070b2a | 1577178290.345 | Field 'info' doesn't have a default value
2019-12-24 17:04:50 | INFO | 23315 | 5e01d3b070b2a | 1577178290.933 | INSERT INTO user (`name`,`password`) VALUES ('','')
2019-12-24 17:04:50 | WARNING | 23315 | 5e01d3b070b2a | 1577178290.933 | mysql query false
2019-12-24 17:04:50 | ALERT | 23315 | 5e01d3b070b2a | 1577178290.933 | Field 'info' doesn't have a default value
2019-12-24 17:04:51 | INFO | 23315 | 5e01d3b070b2a | 1577178291.289 | INSERT INTO user (`name`,`password`) VALUES ('','')
2019-12-24 17:04:51 | WARNING | 23315 | 5e01d3b070b2a | 1577178291.289 | mysql query false
2019-12-24 17:04:51 | ALERT | 23315 | 5e01d3b070b2a | 1577178291.289 | Field 'info' doesn't have a default value
2019-12-24 17:04:51 | INFO | 23315 | 5e01d3b070b2a | 1577178291.494 | INSERT INTO user (`name`,`password`) VALUES ('','')
2019-12-24 17:04:51 | WARNING | 23315 | 5e01d3b070b2a | 1577178291.494 | mysql query false
2019-12-24 17:04:51 | ALERT | 23315 | 5e01d3b070b2a | 1577178291.494 | Field 'info' doesn't have a default value
2019-12-24 17:04:51 | INFO | 23315 | 5e01d3b070b2a | 1577178291.624 | INSERT INTO user (`name`,`password`) VALUES ('','')
2019-12-24 17:04:51 | WARNING | 23315 | 5e01d3b070b2a | 1577178291.624 | mysql query false
2019-12-24 17:04:51 | ALERT | 23315 | 5e01d3b070b2a | 1577178291.624 | Field 'info' doesn't have a default value
2019-12-24 17:07:16 | INFO | 23315 | 5e01d3b070b2a | 1577178436.383 | INSERT INTO user (`name`,`password`) VALUES ('','')
2019-12-24 17:07:16 | WARNING | 23315 | 5e01d3b070b2a | 1577178436.395 | mysql query false
2019-12-24 17:07:16 | ALERT | 23315 | 5e01d3b070b2a | 1577178436.396 | Field 'info' doesn't have a default value
2019-12-24 17:07:20 | INFO | 23315 | 5e01d3b070b2a | 1577178440.930 | INSERT INTO user (`name`,`password`) VALUES ('','')
2019-12-24 17:07:20 | WARNING | 23315 | 5e01d3b070b2a | 1577178440.930 | mysql query false
2019-12-24 17:07:20 | ALERT | 23315 | 5e01d3b070b2a | 1577178440.930 | Field 'info' doesn't have a default value
2019-12-24 17:08:04 | INFO | 23315 | 5e01d3b070b2a | 1577178484.706 | INSERT INTO user (`name`,`password`) VALUES ('','')
2019-12-24 17:08:06 | INFO | 23315 | 5e01d3b070b2a | 1577178486.293 | INSERT INTO user (`name`,`password`) VALUES ('','')
2019-12-24 17:08:06 | INFO | 23315 | 5e01d3b070b2a | 1577178486.818 | INSERT INTO user (`name`,`password`) VALUES ('','')
2019-12-24 17:08:07 | INFO | 23315 | 5e01d3b070b2a | 1577178487.92 | INSERT INTO user (`name`,`password`) VALUES ('','')
2019-12-24 17:08:07 | INFO | 23315 | 5e01d3b070b2a | 1577178487.329 | INSERT INTO user (`name`,`password`) VALUES ('','')
2019-12-24 17:08:40 | INFO | 36844 | 5e01d59566b13 | 1577178520.522 | INSERT INTO user (`name`,`password`) VALUES ('','')
2019-12-24 17:09:32 | INFO | 36844 | 5e01d59566b13 | 1577178572.799 | INSERT INTO user (`name`,`password`) VALUES ('','')
