Year,Artificial Intelligence,Machine Learning,Data Science,Python Data Analysis
2004-01,88,19,17,0
2004-02,100,26,18,0
2004-03,79,23,13,0
2004-04,87,20,16,0
2004-05,67,23,13,0
2004-06,71,22,12,28
2004-07,68,20,12,0
2004-08,67,16,12,0
2004-09,77,16,13,0
2004-10,70,20,16,0
2004-11,69,19,12,0
2004-12,69,18,9,12
2005-01,59,16,13,0
2005-02,58,17,13,0
2005-03,61,17,13,0
2005-04,53,17,12,0
2005-05,52,19,12,0
2005-06,46,14,11,9
2005-07,44,15,9,0
2005-08,41,12,11,0
2005-09,49,14,11,0
2005-10,49,16,11,8
2005-11,47,19,12,8
2005-12,39,15,9,7
2006-01,40,15,11,0
2006-02,43,13,11,7
2006-03,41,13,11,0
2006-04,38,14,9,0
2006-05,37,13,9,6
2006-06,31,10,9,0
2006-07,29,10,8,6
2006-08,31,11,8,11
2006-09,43,12,9,5
2006-10,41,13,8,10
2006-11,38,13,9,5
2006-12,30,10,7,5
2007-01,30,12,8,0
2007-02,30,12,9,0
2007-03,36,12,9,0
2007-04,30,11,8,4
2007-05,29,12,8,3
2007-06,25,11,9,4
2007-07,27,10,7,5
2007-08,26,10,8,0
2007-09,29,12,9,7
2007-10,29,13,9,3
2007-11,29,12,8,6
2007-12,25,10,7,3
2008-01,27,10,10,8
2008-02,28,11,11,6
2008-03,27,10,8,0
2008-04,24,10,8,3
2008-05,24,9,7,8
2008-06,21,9,7,0
2008-07,20,8,8,5
2008-08,20,8,7,5
2008-09,25,11,9,2
2008-10,23,11,8,6
2008-11,23,10,8,4
2008-12,23,10,7,3
2009-01,23,8,9,0
2009-02,25,10,9,3
2009-03,24,11,9,4
2009-04,26,11,9,4
2009-05,23,10,7,5
2009-06,23,9,7,2
2009-07,25,9,7,2
2009-08,27,8,8,2
2009-09,25,10,10,3
2009-10,26,11,9,2
2009-11,25,11,10,2
2009-12,25,9,9,4
2010-01,26,10,10,2
2010-02,26,10,10,2
2010-03,25,11,9,4
2010-04,24,10,9,6
2010-05,22,10,8,4
2010-06,21,10,8,2
2010-07,20,8,7,8
2010-08,22,9,8,7
2010-09,23,10,11,0
2010-10,26,11,8,4
2010-11,24,11,9,1
2010-12,22,10,8,2
2011-01,22,10,10,4
2011-02,25,11,9,3
2011-03,23,10,9,4
2011-04,25,11,8,7
2011-05,22,10,8,3
2011-06,20,10,8,3
2011-07,20,8,6,4
2011-08,24,10,8,2
2011-09,27,12,11,2
2011-10,31,15,10,4
2011-11,31,14,10,2
2011-12,27,12,8,3
2012-01,24,12,10,6
2012-02,25,13,10,4
2012-03,27,14,10,5
2012-04,23,13,9,4
2012-05,22,14,9,13
2012-06,20,12,9,6
2012-07,20,12,8,12
2012-08,20,13,10,11
2012-09,23,14,15,11
2012-10,23,14,12,17
2012-11,22,14,11,18
2012-12,20,13,10,18
2013-01,20,13,12,19
2013-02,23,14,12,18
2013-03,22,14,11,16
2013-04,22,16,13,18
2013-05,21,15,13,21
2013-06,20,14,12,18
2013-07,18,14,11,22
2013-08,19,14,14,25
2013-09,22,15,17,22
2013-10,22,18,16,26
2013-11,22,17,16,21
2013-12,22,16,15,23
2014-01,23,17,19,27
2014-02,24,19,19,27
2014-03,23,19,19,29
2014-04,23,20,18,34
2014-05,23,18,18,25
2014-06,21,18,18,28
2014-07,19,19,18,34
2014-08,23,20,23,30
2014-09,22,21,27,27
2014-10,24,23,25,28
2014-11,26,23,25,33
2014-12,27,22,22,37
2015-01,26,24,26,36
2015-02,28,25,27,32
2015-03,29,26,26,37
2015-04,27,27,29,39
2015-05,32,27,27,36
2015-06,27,27,29,44
2015-07,29,27,29,41
2015-08,26,28,33,43
2015-09,29,31,39,40
2015-10,30,32,36,42
2015-11,32,35,34,42
2015-12,29,33,32,44
2016-01,33,34,39,43
2016-02,31,36,40,44
2016-03,36,40,39,47
2016-04,34,40,38,47
2016-05,34,41,40,48
2016-06,30,42,40,53
2016-07,26,37,39,45
2016-08,26,40,45,47
2016-09,33,46,52,49
2016-10,38,51,49,52
2016-11,40,54,52,55
2016-12,39,54,49,55
2017-01,40,61,60,68
2017-02,43,67,62,68
2017-03,46,71,65,71
2017-04,46,71,61,75
2017-05,48,76,63,83
2017-06,41,79,64,74
2017-07,45,73,62,76
2017-08,53,75,70,77
2017-09,58,83,77,89
2017-10,61,89,75,83
2017-11,67,96,78,92
2017-12,59,87,70,86
2018-01,74,90,84,92
2018-02,68,92,83,97
2018-03,63,98,86,92
2018-04,65,95,86,95
2018-05,65,100,89,97
2018-06,55,97,84,87
2018-07,54,94,86,94
2018-08,55,97,94,100
2018-09,60,96,100,90
